No.,Study,MAG,Size_bp,Domain,Phylum,Class,Order,Family,Genus,Species,Completeness,Contamination
4382,UHGG,MGYG000004468,2418771,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A,s__Alistipes_A sp900539755,100,0.48
4383,UHGG,MGYG000004469,2457179,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A,s__Alistipes_A sp900545315,99.04,0.96
4384,UHGG,MGYG000004470,1818738,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA737,s__,79.05,2.05
4385,UHGG,MGYG000004471,1997651,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UBA1394,s__UBA1394 sp900554975,98.66,1.85
4386,UHGG,MGYG000004472,2148581,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__QALR01,s__QALR01 sp900553085,95.75,1.34
4387,UHGG,MGYG000004473,2142125,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Zag111,s__,89.74,0.85
4388,UHGG,MGYG000004474,2861939,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__C941,s__C941 sp004557565,96.23,0.13
4389,UHGG,MGYG000004475,1726782,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp900556015,90.6,0.67
4390,UHGG,MGYG000004476,1651123,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__Borkfalkiaceae,g__UBA1259,s__,91.73,0
4391,UHGG,MGYG000004477,1162770,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-273,s__,74.1,0.28
4392,UHGG,MGYG000004478,2186477,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-977,g__UBA11549,s__,81.72,1.04
4393,UHGG,MGYG000004479,3712458,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola mediterraneensis,99.18,1.7
4394,UHGG,MGYG000004481,1970808,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__UBA1191,s__,96.45,1.44
4395,UHGG,MGYG000004482,1836342,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__ER4,s__ER4 sp900546295,98.66,0
4396,UHGG,MGYG000004483,2849207,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__CAG-873 sp900554715,97.36,0.38
4397,UHGG,MGYG000004484,1902889,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-977,g__UBA2903,s__UBA2903 sp002349565,78.23,0.05
4398,UHGG,MGYG000004485,1911658,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-977,g__,s__,79.71,0.29
4399,UHGG,MGYG000004486,2013479,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__F23-B02,s__F23-B02 sp003533405,91.61,0
4400,UHGG,MGYG000004487,2112387,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp900547745,91.95,0.67
4401,UHGG,MGYG000004488,1928588,d__Bacteria,p__Firmicutes,c__Bacilli,o__RFN20,f__CAG-449,g__CAG-449,s__CAG-449 sp900551385,100,0
4402,UHGG,MGYG000004489,2119939,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__ER4,s__ER4 sp900552015,96.98,0
4403,UHGG,MGYG000004490,3323418,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Muribaculum,s__Muribaculum sp003150235,99.43,0.38
4404,UHGG,MGYG000004491,3066074,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900548745,95.28,0.42
4405,UHGG,MGYG000004492,1467812,d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__Elusimicrobiales,f__Elusimicrobiaceae,g__UBA1436,s__UBA1436 sp900540405,96.63,0
4406,UHGG,MGYG000004493,2547130,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__,100,0
4407,UHGG,MGYG000004494,1389164,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp000437215,74.54,2.46
4408,UHGG,MGYG000004495,2923471,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__,97.3,1.77
4409,UHGG,MGYG000004496,1393460,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UMGS1491,s__,74.9,4.24
4410,UHGG,MGYG000004497,1775671,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900541245,83.47,3.72
4411,UHGG,MGYG000004498,1649118,d__Bacteria,p__Firmicutes,c__Bacilli,o__RFN20,f__CAG-288,g__CAG-345,s__CAG-345 sp000433315,97.75,0
4412,UHGG,MGYG000004499,4071424,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__Victivallis,s__Victivallis sp900551245,93.24,2.7
4413,UHGG,MGYG000004501,2469413,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__CAG-312,g__CAG-312,s__,93.92,0
4414,UHGG,MGYG000004502,1382274,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-611,g__CAG-451,s__,93.82,1.69
4415,UHGG,MGYG000004503,1879859,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__QALR01,s__,92.57,1.34
4416,UHGG,MGYG000004504,1286607,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,58.64,0.99
4417,UHGG,MGYG000004505,1802744,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,85.37,3.08
4418,UHGG,MGYG000004506,1954513,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900541145,87.45,2.62
4419,UHGG,MGYG000004507,1191088,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-1000,g__CAG-460,s__CAG-460 sp000437355,91.57,0
4420,UHGG,MGYG000004508,947290,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-302,g__UMGS2068,s__,85.96,1.12
4421,UHGG,MGYG000004509,1456179,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-302,g__,s__,94.38,0.72
4422,UHGG,MGYG000004510,3097673,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp002481295,96.2,1.01
4423,UHGG,MGYG000004512,1018207,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__UMGS1908,g__UMGS2070,s__,77.06,0
4424,UHGG,MGYG000004513,4294613,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__Victivallis,s__Victivallis sp900550905,91.89,2.4
4425,UHGG,MGYG000004514,1943205,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900541175,95.56,2.02
4426,UHGG,MGYG000004515,1468039,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__UMGS1663,s__,76.33,1.45
4427,UHGG,MGYG000004516,1228854,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Sneathia,s__Sneathia amnii,98.88,0
4428,UHGG,MGYG000004517,2174745,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UBA5884,s__,95.08,0.34
4429,UHGG,MGYG000004518,1841689,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Zag111,s__Zag111 sp002103105,89.74,0.85
4430,UHGG,MGYG000004519,2064379,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__TWA4,s__,92.74,3.84
4431,UHGG,MGYG000004520,2155170,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E bromii_A,98.66,0.02
4432,UHGG,MGYG000004521,2099671,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-977,g__UBA11549,s__UBA11549 sp900550445,81.72,0.29
4433,UHGG,MGYG000004522,2104478,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,99.19,1.61
4434,UHGG,MGYG000004523,1701429,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella_E,s__Olsenella_E sp002160255,88.21,1.75
4435,UHGG,MGYG000004525,2511389,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp900555735,92.28,0
4436,UHGG,MGYG000004526,1961384,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-103,s__CAG-103 sp000432375,93.96,0
4437,UHGG,MGYG000004527,1202106,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-611,g__UMGS995,s__,93.54,0
4438,UHGG,MGYG000004528,1259289,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-314,g__SFEB01,s__,89.49,1.61
4439,UHGG,MGYG000004529,1929683,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__UMGS1477,s__,94.02,0.85
4440,UHGG,MGYG000004530,1297418,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-822,g__UBA5578,s__,88.2,3.37
4441,UHGG,MGYG000004531,1338137,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA737,s__,70.87,2.68
4442,UHGG,MGYG000004532,2434720,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia sp900548895,93.16,0
4443,UHGG,MGYG000004533,1756109,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__CAG-495,s__CAG-495 sp000436375,98.92,0
4444,UHGG,MGYG000004534,1382273,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-245,s__CAG-245 sp000434195,98.25,3.99
4445,UHGG,MGYG000004535,1710756,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-552,g__,s__,91.16,0.45
4446,UHGG,MGYG000004536,2335647,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes sp900542505,98.3,0.48
4447,UHGG,MGYG000004537,1450923,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__,g__,s__,97.8,1.1
4448,UHGG,MGYG000004538,1759821,d__Bacteria,p__Firmicutes,c__Bacilli,o__ML615J-28,f__CAG-313,g__CAG-313,s__,98.67,1.44
4449,UHGG,MGYG000004539,1223898,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-273,s__,58.59,1.57
4450,UHGG,MGYG000004540,1492343,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__UMGS1754,s__UMGS1754 sp900554815,68.22,0.56
4451,UHGG,MGYG000004541,3519256,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Ureibacillus,s__Ureibacillus endophyticus,99.34,0.22
4452,UHGG,MGYG000004542,2142570,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,98.79,0.81
4453,UHGG,MGYG000004543,1305060,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA737,s__,87.7,0.13
4454,UHGG,MGYG000004544,2598681,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes sp900290115,99.52,0
4455,UHGG,MGYG000004545,1487294,d__Bacteria,p__Firmicutes,c__Bacilli,o__RFN20,f__CAG-826,g__UBA4855,s__,96.63,1.12
4456,UHGG,MGYG000004546,1057207,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-1000,g__CAG-460,s__,90.4,0
4457,UHGG,MGYG000004547,2604006,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__CAG-274,g__,s__,97.32,0
4458,UHGG,MGYG000004548,2412445,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__AM51-8,s__AM51-8 sp900546435,95.26,0.48
4459,UHGG,MGYG000004549,1876970,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,87.55,2.42
4460,UHGG,MGYG000004550,2054414,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900541145,98.12,3.3
4461,UHGG,MGYG000004551,1887614,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-138,g__Phil1,s__Phil1 sp004558525,97.58,0
4462,UHGG,MGYG000004552,2535946,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Frisingicoccus,s__,97.32,0.34
4463,UHGG,MGYG000004553,2048308,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900544645,100,0.81
4464,UHGG,MGYG000004554,1685404,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,66.92,1.79
4465,UHGG,MGYG000004555,1866920,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA7067,s__,93.96,0.69
4466,UHGG,MGYG000004556,3007191,d__Bacteria,p__Firmicutes_B,c__Peptococcia,o__Peptococcales,f__Peptococcaceae,g__,s__,70.69,0
4467,UHGG,MGYG000004557,2548917,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__UBA5446,s__UBA5446 sp900545405,95.41,0.06
4468,UHGG,MGYG000004558,3542236,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__,98.34,2.34
4469,UHGG,MGYG000004559,2216405,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__CAG-831,s__,95,0.48
4470,UHGG,MGYG000004560,2385116,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA737,s__,96.64,1.34
4471,UHGG,MGYG000004561,3001921,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp002480935,98.46,0
4472,UHGG,MGYG000004562,1790867,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Gemellaceae,g__Gemella,s__Gemella morbillorum,94.35,0.29
4473,UHGG,MGYG000004564,2339213,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Synergistaceae,g__An23,s__An23 sp900544635,98.15,0
4474,UHGG,MGYG000004566,1432751,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,s__Pauljensenia cardiffensis,68.03,1.96
4475,UHGG,MGYG000004567,1846571,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella_E,s__Olsenella_E sp002159735,99.19,0
4476,UHGG,MGYG000004568,818834,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__UBA2834,s__UBA2834 sp004561445,61.11,0.85
4477,UHGG,MGYG000004569,2389314,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__RF16 sp900556095,97.04,0.54
4478,UHGG,MGYG000004570,2364040,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D berlinense,97.55,0
4479,UHGG,MGYG000004571,2289596,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA6382,s__UBA6382 sp900557555,89.42,0.56
4480,UHGG,MGYG000004572,2070764,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea,s__,81.82,1.02
4481,UHGG,MGYG000004573,2473880,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__F082,g__F082,s__F082 sp002633315,97.04,0
4482,UHGG,MGYG000004575,2401940,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__UBA5446,s__,81.63,3.26
4483,UHGG,MGYG000004576,1493613,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-917,g__UMGS1688,s__UMGS1688 sp900553825,89.82,0
4484,UHGG,MGYG000004577,1362274,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella_E,s__,68.87,1.92
4485,UHGG,MGYG000004578,1540237,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-552,g__UMGS1795,s__UMGS1795 sp900553555,88.26,0
4486,UHGG,MGYG000004581,2727117,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Coprococcus_A,s__Coprococcus_A sp900548825,92.68,1.4
4487,UHGG,MGYG000004582,2816599,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-81,s__,100,0.17
4488,UHGG,MGYG000004583,2152914,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,94.15,3.7
4489,UHGG,MGYG000004584,2044723,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Enorma,s__,97.74,1.76
4490,UHGG,MGYG000004586,2425197,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_C,s__,91.38,1.57
4491,UHGG,MGYG000004587,2560840,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UBA1409,s__UBA1409 sp900553675,95.3,0
4492,UHGG,MGYG000004588,3452051,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900317685,92.93,0.51
4493,UHGG,MGYG000004589,2344590,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA2856,s__,95.57,1.96
4494,UHGG,MGYG000004590,2013255,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,94.24,0.81
4495,UHGG,MGYG000004591,1815806,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__,98.1,0
4496,UHGG,MGYG000004592,1743923,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__UMGS1293,s__,94.92,1.61
4497,UHGG,MGYG000004593,2619374,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-194,s__CAG-194 sp000432915,98.87,0.97
4498,UHGG,MGYG000004594,1579058,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__UMGS1663,s__,74.1,1.34
4499,UHGG,MGYG000004595,1199200,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__CAG-1427,s__,65.04,1.88
4500,UHGG,MGYG000004596,2214446,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__CAG-617,s__,74.48,0
4501,UHGG,MGYG000004597,2142149,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,95.56,1.15
4502,UHGG,MGYG000004598,1864052,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus,s__,89.26,0
4503,UHGG,MGYG000004599,3450206,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__,87.11,0.93
4504,UHGG,MGYG000004600,1943147,d__Bacteria,p__Firmicutes,c__Bacilli,o__Acholeplasmatales,f__Anaeroplasmataceae,g__CAG-307,s__CAG-307 sp001916215,98.67,0
4505,UHGG,MGYG000004601,1227979,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-433,g__CAG-433,s__CAG-433 sp900546245,93.82,0.72
4506,UHGG,MGYG000004602,2016081,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900544645,99.8,0.81
4507,UHGG,MGYG000004604,1899117,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,81.53,0.95
4508,UHGG,MGYG000004605,2767428,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA7173,s__UBA7173 sp900555165,98.68,0.75
4509,UHGG,MGYG000004606,1185973,d__Bacteria,p__Firmicutes,c__Bacilli,o__RFN20,f__CAG-288,g__,s__,98.88,0
4510,UHGG,MGYG000004607,2165804,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,98.39,1.61
4511,UHGG,MGYG000004608,2012617,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,99.19,1.79
4512,UHGG,MGYG000004609,2469643,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__,71.4,3.31
4513,UHGG,MGYG000004610,2101954,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Faecalicoccus,s__,97.84,2.43
4514,UHGG,MGYG000004611,1855749,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__,99.32,2.1
4515,UHGG,MGYG000004612,2741718,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UMGS363,s__,97.32,0
4516,UHGG,MGYG000004613,2009120,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__RUG841,s__,90.31,0.85
4517,UHGG,MGYG000004614,1382721,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__CAG-1427,s__,92.5,0.81
4518,UHGG,MGYG000004615,1521906,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-917,g__UMGS1688,s__,90.3,2.1
4519,UHGG,MGYG000004616,2217766,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Acutalibacter,s__,93.22,2.74
4520,UHGG,MGYG000004619,2120765,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,95.97,0
4521,UHGG,MGYG000004620,937993,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-1000,g__CAG-605,s__,64.22,2.67
4522,UHGG,MGYG000004621,2838817,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__,92.77,3.32
4523,UHGG,MGYG000004622,2570641,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900316565,95.29,0.76
4524,UHGG,MGYG000004623,3060889,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A sp900551465,97.07,0.21
4525,UHGG,MGYG000004624,1785578,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__CAG-390,s__,68.79,1.36
4526,UHGG,MGYG000004625,2157144,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900549245,100,0.81
4527,UHGG,MGYG000004626,1754327,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__CAG-521,s__CAG-521 sp900553105,96.77,1.25
4528,UHGG,MGYG000004627,2663266,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella nigrescens,99.54,0
4529,UHGG,MGYG000004628,2940804,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Lawsonibacter,s__,92.88,3.58
4530,UHGG,MGYG000004629,2382499,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella intermedia,98.87,0
4531,UHGG,MGYG000004630,3004054,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575,s__,99.37,1.16
4532,UHGG,MGYG000004631,1746417,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Mogibacterium,s__Mogibacterium sp900315625,93.17,0
